content,rating,author,time,votes,ip_location,movie
看点真的只有贾玲减肥,3,友心,2024-02-10 11:25:13,21115,山西,热辣滚烫
看完想大喊：姐！,5,真珠,2024-02-10 11:22:46,16066,安徽,热辣滚烫
《李焕英》破了30亿，答应观众要减肥。可是减肥很痛苦的，不能白减！减肥又费时间，这样就会少上几个综艺赚钱！那就一边减肥一边拍电影一边赚观众的钱吧！拍什么好呢~日本这部电影，刚好可以翻拍！不错。换个概念讲，就是给我40亿~20亿人民币吧，并且教练、营养师等团队都配齐，在一年时间里不用工作上班，只需减肥100斤！我绝对相信我也可以~~说实话，我不讨厌贾玲，只厌烦电影的营销方式。。。说回电影本身，这个剧情在我看来真的很一般，尽管贾玲表现的能吃能睡还懒，讲话无力不自信，但依旧给我一种活的很“饱满”的感觉。还有最后比赛，一直在挨打，最后来个必杀左拳。都报名拳击比赛了，你实战不练啊，只练动作与瘦身。不愧是懂煽情的“喜“剧人。相比起来，张家辉的《激战》优秀多了。剧情60分，另外加15分送给真的瘦了的贾玲。,3,楠朋友,2024-02-10 22:56:17,7401,浙江,热辣滚烫
她拍这部片子的目的根本不是说她瘦了这个事，是告诉你，无论你这个人活的有多烂、多失败、多差劲，只要你找到一件事，哪怕只是很小的一件事，一直做、专注做、拼了命地做下去，你会赢的，哪怕就一次。,4,吴吴,2024-02-10 15:54:19,48092,湖北,热辣滚烫
如芒刺背，如鲠在喉，如坐针毡！绝对是春节档最拉垮的一部电影，虽然其它的几部我还没来得及看！,1,彩云之南,2024-02-10 11:16:57,6651,河南,热辣滚烫
成功的明星电影而非电影，从热搜词条上也可见一斑。总的来说是贾玲个人魅力大于剧作本身。前半段讲女主受到现实打击的时候充满各种经典性别刻板印象的小品，不懂为什么要刻画一堆女学员围着男教练尖叫，不懂为什么要搞什么姐妹阋墙，明明有更妥当的叙述方式但好像编剧习以为常用最偷懒的笑料作为剧情推动，我作为观众感到非常不适。但不可以否认的是看到后半段贾玲脱胎换骨动作敏捷出现在格斗场的时候，还是非常感动，结尾也没有狗血地走向瘦身成功就谈恋爱，而是和曾经的心上人之间来了个人生境遇的对换和比较，然后沉浸在自己的世界，在黑夜中一拳一步地走向未来。万幸万幸，女性个人奋斗的主题还是立住了。,3,Boringbbbb,2024-02-10 12:48:58,7890,福建,热辣滚烫
心疼贾玲，太强了。最有意思的是，影院一个男的看完出来说，“这种我一个月就练出来了”。太经典了，典中点。,4,aiaiaixiahe,2024-02-11 17:22:12,23874,浙江,热辣滚烫
要细究质量的话当然有很多问题，但是我喜欢贾玲。我喜欢看贾玲减肥，我喜欢看贾玲练拳击，我也喜欢结局：不要男人，也没有赢得什么，只是自己开心就好。,4,JO,2024-02-10 22:14:18,7289,浙江,热辣滚烫
一个比99％都有钱的人，富态胖再怎么减，也没法还原丧人生的感觉，偏偏她还想试图感动我们，再赚一波？（按这票房，以后都翻拍吧，这多舒服啊）,2,小侠来了,2024-02-10 11:24:07,15453,浙江,热辣滚烫
一个女孩在关系里受尽屈辱历尽心死后，选择以训练自己身体的方式，独自前行，只拥抱了自己的对手。这是被利用被背叛被掠夺的一个普通女人的孤独处境。拥抱的对手是她自己选的，不爱她但尊重她，和她公平较量，技高一筹就把她往死里打的一个人。我们千山万水要的就是这一点公道。我要的，我来选，这就是赢。,5,张春[阿卡纳],2024-02-11 18:37:56,5942,福建,热辣滚烫
平时看电影最容易走神的桥段就是小人物逆袭蒙太奇，无论是埋头狂刷试卷考清北还是丑鬼减肥造型大翻身变美人，横竖都是假的，加了科技的，全靠观众自我说服“我就当ta成功了吧”。所以看到贾玲用这么笨的办法，这么大的代价拍了商业片里最烂俗的五分钟我真的，心跳加速，她虽然不是专业电影人出身，但颇有电影发展早期那种硬桥硬马搏命一拼只为圆梦的癫狂精神，就冲这五分钟可以原谅整个电影的种种不完美,4,黄青蕉,2024-02-13 10:59:14,1133,湖南,热辣滚烫
减肥的过程我看到了，但是我没看到电影。,2,Season,2024-02-12 00:35:30,4417,福建,热辣滚烫
很奇妙的效果。贾玲导演的眼睛似乎能看穿演员表演形象中不肯轻易袒露的真实人格，并在极度戏剧化的情境中转化作最朴素日常的一瞬。情节的减法做得极好，凸显了扑面而来的影像能量。男主角的半路退出让整部影片走入了截然不同的轨道，作为演员的贾玲对抗的不是体重，而是孤独。都说瘦下来的她变了，其实她丝毫未变，只是我们看她的眼光变了。与《喜剧之王》相似的情感内核，极度真诚，但从不自诩真诚。,4,嘟嘟熊之父,2024-02-10 14:18:45,1513,陕西,热辣滚烫
"“在一切结束之后，乐莹没有迎接父母妹妹，没有拥抱闺蜜，也没有和男人和好，亲缘友缘性缘前尘皆散，尽数被抛诸脑后，她独自一个人在黑夜里向前奔跑。

一个强大自由的女人就这样诞生了。”",5,到天黑,2024-02-16 21:33:31,4006,陕西,热辣滚烫
减肥励志片儿啊我的妈，比贾玲瘦了更让人惊叹的，是她甚至还练了一身腱子肉，牛哇牛哇,4,雀眠雪,2024-02-10 11:16:48,2439,山西,热辣滚烫
电影里有很多肉麻的东西，很多过犹不及的煽情。剧作全是直给，小品式的桥段和转折。但就是贾玲的电影贵在情绪都特别满并且情绪很真诚。个人觉得她和吴京都算作者型导演。他们拍的东西再肉麻，但他们自己认。,4,老袁,2024-02-10 20:40:40,599,北京,热辣滚烫
被感动到！我认为贾玲的电影是向内的，个人的，对她自己来说更重要。前一部是疗愈自己的家庭关系，这一部是针对自己的身体。电影反而是个借口了：我借电影这个疗愈的媒介去面对和解决自己。这一点是让人触动的。凡是尝试改造身体和告别过去的都知道这其中的艰难。,4,曉宇,2024-02-11 00:13:56,554,湖北,热辣滚烫
贾玲难得的在于她证明这些事可以做到：一年可以减一百斤、真心可以打动观众、中国第一女导演有人能做。陈思诚能赚的钱女的一样能赚，更何况，她真诚,4,很好很会吃米,2024-02-10 23:20:13,1007,湖北,热辣滚烫
贾玲赢了，但乐莹没有赢。花一年专心做一件让自己变好的事情，虽然很燃，但本身就很奢侈。贾玲有这个条件，乐莹没有，大多数我们也没有。,3,溺死的鱼,2024-02-11 12:04:48,4905,广东,热辣滚烫
虽然是改编，结局比日本原版的好太多了。原版女主还原谅了渣男，我无法理解。贾玲这版女主选择了自己走花路，因为她打拳是开启了新人生。,5,已注销,2024-02-10 17:44:22,4860,江苏,热辣滚烫
粗制滥造，营销话题，男女对立，拿下这么高票房简直是中国影史的耻辱,1,名号,2024-02-23 15:14:07,1678,上海,热辣滚烫
减肥的过程我看到了，但是我没看到电影。,2,Season,2024-02-12 00:35:30,4417,福建,热辣滚烫
这种片子能在豆瓣7.8我已经不相信豆瓣了  按常理很少打一分 但是这种片子在春节档席卷几十亿票房 是对中国电影的侮辱 零分都不过分,1,浩北的平行世界,2024-03-06 17:16:19,980,内蒙古,热辣滚烫
成功的明星电影而非电影，从热搜词条上也可见一斑。总的来说是贾玲个人魅力大于剧作本身。前半段讲女主受到现实打击的时候充满各种经典性别刻板印象的小品，不懂为什么要刻画一堆女学员围着男教练尖叫，不懂为什么要搞什么姐妹阋墙，明明有更妥当的叙述方式但好像编剧习以为常用最偷懒的笑料作为剧情推动，我作为观众感到非常不适。但不可以否认的是看到后半段贾玲脱胎换骨动作敏捷出现在格斗场的时候，还是非常感动，结尾也没有狗血地走向瘦身成功就谈恋爱，而是和曾经的心上人之间来了个人生境遇的对换和比较，然后沉浸在自己的世界，在黑夜中一拳一步地走向未来。万幸万幸，女性个人奋斗的主题还是立住了。,3,Boringbbbb,2024-02-10 12:48:58,7890,福建,热辣滚烫
贾玲赢了，但乐莹没有赢。花一年专心做一件让自己变好的事情，虽然很燃，但本身就很奢侈。贾玲有这个条件，乐莹没有，大多数我们也没有。,3,溺死的鱼,2024-02-11 12:04:48,4905,广东,热辣滚烫
电影，请用电影的方式去赢；演员，也请用演技去赢。如果不是，那等于从来都没有赢。,3,Xaviera,2024-02-12 20:55:35,3687,北京,热辣滚烫
这也能有7.9的评分，在座各位都有责任。,2,太阳留住我,2024-02-12 10:53:02,3776,江西,热辣滚烫
结局没有获胜和拒绝雷佳音是我最喜欢的部分,5,MNK,2024-02-13 16:31:01,2435,山西,热辣滚烫
人确实是狠人，片子确实是烂片。,2,阿彬困了,2024-02-22 10:24:08,1142,新西兰,热辣滚烫
自尊心的玻璃被击碎了，创可贴就能贴好。爱情的小腿肚被撞疼了，打梨球也能治愈。想在生活里和解，想在爱情里转正，想在拳台赢一次。以为足够钝感，从楼上摔下来竟然不疼。落在脸上的拳头不疼，刺进心里的拳头才伤。为什么要一直打呢，因为遍体鳞伤时你看到我毫发无损，当我浑身是血时却已经长出盔甲。,2,西楼尘,2024-02-10 15:17:27,879,辽宁,热辣滚烫
花钱去电影院看贾玲送自己一朵小红花…,2,总有蓝天,2024-02-10 11:23:24,1793,山东,热辣滚烫
我们需要女导演，需要电影里，女拳手比赛时，不怼着女人大腿拍、不从腿到下体到腰到胸拍到脸的女导演。看到贾玲走向拳击赛场和过去的自己相视而笑，上衣写着That's lihuanying's daughter就流泪了。 永远被她爱妈妈想念妈妈纪念妈妈的心思感动。全片贾玲唯一主动拥抱的人，是那个把她打到牙花眼眶流血的拳击手，那是让她咬牙挨打但也尊重她的对手。 最后，我想朝每一个说贾玲瘦了没以前可爱的人吐一口唾沫。,5,萨尔茨堡飞鸟_,2024-02-18 16:38:00,1105,德国,热辣滚烫
虽然前三分之二的本土化难看得一塌糊涂，但是不得不承认它有一个比原版更进步的结尾；虽然贾玲是不是个好导演真的很值得商榷，并且用几十个亿的生意来让观众看你自己自我实现这种行为也值得细想，但不得不承认作为演员的贾玲还是很有魅力。虽然说了这么多，还是打两星。,2,苏丽珂,2024-02-10 11:18:05,1406,山东,热辣滚烫
贾玲是当年包贝尔那场婚礼上唯一一个救下柳岩的人。我只想说 女性永远处于弱势 我将无条件偏爱女导演。,5,无敌三文鱼🍣,2024-02-13 10:43:58,1257,浙江,热辣滚烫
龙年的第一部电影，也是第一次这么早看电影，9点场，只有减过肥的人知道她有多励志多努力，很喜欢结尾的安排，只要想开始一切都来得及，战胜自己就是赢！,5,Jun,2024-02-10 11:22:58,2728,四川,热辣滚烫
贾玲可能不懂电影，但绝对懂中国市场,1,馒头,2024-02-14 20:23:18,1574,山西,热辣滚烫
改编很好。大过年的，一不想看女主被强奸，二不想看女主和挫男复合。,5,福禄寿喜锅,2024-02-10 18:37:13,1786,四川,热辣滚烫
做电影真不容易，刚看完片子，一堆人这么努力，花这么长时间拍了一个这么燃这么难的片子，从摄影到细节都特别棒。结果过来看看豆瓣的戾气，真的恶心，很多人在这里藏在文字背后散播这自己的恶，见不得别人好，见不得别人比你努力，这个豆瓣的平台，没有鼓励，这才是电影人的悲哀。,5,打豆豆看电影,2024-02-10 20:30:07,1765,北京,热辣滚烫
不是为了变瘦，不是为了变美，而是为了变强,5,Pollyanna,2024-02-11 11:08:18,1352,山东,热辣滚烫
很纠结打了3颗星，如果单纯给贾玲，我愿意给5颗星，因为我知道瘦100斤意味着什么，尽管她说这不是一部减肥的电影，但不得不说，人们看到的最大亮点还是她的瘦身成功，她的毅力和努力值得5颗星甚至更多。但单纯从电影的角度来说，不好意思，我真的没办法全然喜欢。从头到尾，我开心的笑了一次，在雷佳音尿尿那个场面，然后我有一次比较动容想哭，就是看到贾玲努力运动的那些画面。这是电影当中相对比较触及我情绪的两个地方，其他的，说实话从开头到结尾，就比较寡淡，我也不喜欢贾玲在电影中的人设，说她烂好人也罢，说她自暴自弃也行，总之她的这个人设转变的太突兀了，人物发展和改变的理由不够充分也不合理，情节设定上来说有点俗套。她想表达每个人都应该爱自己，都要为了自己努力一次，而实际上她只是被逼迫着要证明自己，全程表演的太丧了。,3,大猫大猫大猫,2024-02-11 20:52:48,2792,江西,热辣滚烫
真的烂，只能靠营销推起来的电影，获得高票房，华语电影之所以越来越烂就是因为有这种电影存在，他们可以对电影什么都不会，而只靠营销就能有有高票房，大家相继效仿。现在营销评分是8分，难以想象后面真实的评分会有多低，明年还会不会有人为贾玲的这种套路买单,1,远方的星,2024-02-14 10:09:50,1612,山西,热辣滚烫
这片子能7.9 在座的各位都有责任,1,Su®,2024-02-25 20:16:56,797,河北,热辣滚烫
拒绝雷佳音的一刻我决定打十分,5,男科节目主持人,2024-02-15 16:32:31,751,湖北,热辣滚烫
从今天起，贾玲是我最喜欢的华语女明星。出电影院听到有人说“有什么了不起，如果给我那么多投资那么牛的健身团队还可以挣票房，我也可以” 我想说你不可以，首先你不好笑，其次你不是家喻户晓的人、你没有首部编导主演电影54亿票房的成绩、更没有200公斤的体重，所以你才坐在下面看她的电影…希望每个人都有自己的梦想可以说“我能打完”。真心祝贺并赞美她❤️,5,马吟吟,2024-02-12 20:15:28,417,山东,热辣滚烫
这么烂的片子竟然还容不得一点批评，我只能说咱们的电影艺术真的完蛋了,1,一块培根,2024-02-20 02:31:26,1028,甘肃,热辣滚烫
"为女性视角投票
 “当他们还在讨论胖瘦讨喜，她的灵魂已经翻山越岭”",5,云与海浪边,2024-02-17 23:04:43,498,内蒙古,热辣滚烫
